defined_class,datum,datum_label,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010871,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,B26108_001E,Estimate!!Total,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010872,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001035,with a disability/with any disability,B26108_002E,Estimate!!Total!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010873,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001034,no disability,B26108_003E,Estimate!!Total!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010874,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001001,disability status,B26108_004E,Estimate!!Total!!Population under 18 years,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010875,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001035,with a disability/with any disability,B26108_005E,Estimate!!Total!!Population under 18 years!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010876,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001034,no disability,B26108_006E,Estimate!!Total!!Population under 18 years!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010877,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001001,disability status,B26108_007E,Estimate!!Total!!Population 18 to 64 years,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010878,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001035,with a disability/with any disability,B26108_008E,Estimate!!Total!!Population 18 to 64 years!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010879,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001034,no disability,B26108_009E,Estimate!!Total!!Population 18 to 64 years!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010880,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001001,disability status,B26108_010E,Estimate!!Total!!Population 65 years and over,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010881,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,B26108_011E,Estimate!!Total!!Population 65 years and over!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010882,SRPDIO:1000000,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,B26108_012E,Estimate!!Total!!Population 65 years and over!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010883,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,B26108_013E,Estimate!!Total!!Group quarters population,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010884,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001035,with a disability/with any disability,B26108_014E,Estimate!!Total!!Group quarters population!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010885,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001008,age category,SRPDIO:1001034,no disability,B26108_015E,Estimate!!Total!!Group quarters population!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010886,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001001,disability status,B26108_016E,Estimate!!Total!!Group quarters population!!Population under 18 years,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010887,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001035,with a disability/with any disability,B26108_017E,Estimate!!Total!!Group quarters population!!Population under 18 years!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010888,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001063,under 18 years,SRPDIO:1001034,no disability,B26108_018E,Estimate!!Total!!Group quarters population!!Population under 18 years!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010889,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001001,disability status,B26108_019E,Estimate!!Total!!Group quarters population!!Population 18 to 64 years,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010890,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001035,with a disability/with any disability,B26108_020E,Estimate!!Total!!Group quarters population!!Population 18 to 64 years!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010891,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001065,18 to 64 years,SRPDIO:1001034,no disability,B26108_021E,Estimate!!Total!!Group quarters population!!Population 18 to 64 years!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010892,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001001,disability status,B26108_022E,Estimate!!Total!!Group quarters population!!Population 65 years and over,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010893,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,B26108_023E,Estimate!!Total!!Group quarters population!!Population 65 years and over!!With a disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010894,SRPDIO:1000007,number of people,SRPDIO:1001011,housing quality,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,B26108_024E,Estimate!!Total!!Group quarters population!!Population 65 years and over!!No disability,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
SRPDIO:2010895,SRPDIO:1000007,number of people,SRPDIO:1001096,institutionalized group quarters,SRPDIO:1001008,age category,SRPDIO:1001001,disability status,B26108_025E,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS
